poach /pəʊtʃ/ (v) | Săn trộm
worsen /ˈwɜːrsn/ (v) | Trở nên tệ hơn
tackle /ˈtækl/ (v) | Giải quyết, xử lý (vấn đề)
remedy /ˈremədi/ (n) | Phương thuốc, cách chữa
linger /ˈlɪŋɡər/ (v) | Kéo dài, đeo bám
flourish /ˈflɜːrɪʃ/ (v) | Bùng nổ, phát triển
exacerbate /ɪɡˈzæsəbeɪt/ (v) | Làm tăng, trầm trọng hơn (bệnh tật)
deteriorate /dɪˈtɪəriəreɪt/ (v) | Trở nên tệ hơn
compete /kəmˈpiːt/ (v) | Cạnh tranh
aggravate /ˈæɡrəveɪt/ (v) | Làm tồi tệ, trầm trọng hơn
staggering /ˈstæɡərɪŋ/ (adj) | Gây sửng sốt, kinh ngạc
short-sighted /ˌʃɔːrt ˈsaɪtɪd/ (adj) | Cận thị
pressing /ˈpresɪŋ/ (adj) | Cấp bách, thúc bách
overpriced /ˌəʊvəˈpraɪst/ (adj) | Được đặt giá quá cao
long-sighted /ˌlɑːŋ ˈsaɪtɪd/ (adj) | Nhìn xa trông rộng, viễn thị
double-edged /ˌdʌbl ˈedʒd/ (adj) | Hai lưỡi, vừa có hại vừa có lợi
decent /ˈdiːsnt/ (adj) | Lịch sự
crowded /ˈkraʊdɪd/ (adj) | Đông đúc
booming /buːmɪŋ/ (adj) | Bùng nổ
urbanisation /ˌɜːrbənaɪˈzeɪʃn/ (n) | Sự đô thị hóa
slum /slʌm/ (n) | Khu ổ chuột
setback /ˈsetbæk/ (n) | Trở ngại (làm trì hoãn)
obstacle /ˈɑːbstəkl/ (n) | Vật cản, chướng ngại
migrant /ˈmaɪɡrənt/ (n) | Người di cư
dilemma /dɪˈlemə/ (n) | Thế khó xử, tiến thoái lưỡng nan
impel /ɪmˈpel/ (verb) | (+ sb to do st) Thúc ép, bắt buộc
compel /kəmˈpel/ (v) | Buộc phải, bắt phải, bắt buộc, ép, thúc ép
expel /ɪkˈspel/ (verb) | Đuổi, trục xuất
endemic /enˈdemɪk/ (adjective) | Đầy rẫy, tràn lan, lan rộng
epidemic /ˌepɪˈdemɪk/ (n) | Đại dịch, nạn dịch
undermine /ˌʌndərˈmaɪn/ (verb) | Hủy hoại
underpass /ˈʌndərpæs/ (noun) | Đường hầm chui
trespass /ˈtrespæs/ (noun) | Sự xâm phạm, sự xâm nhập, sự xâm lấn
compass /ˈkʌmpəs/ (noun) | La bàn
hypothetical /ˌhaɪpəˈθetɪkl/ (adjective) | (thuộc) Giả thuyết
sentient /ˈsenʃnt/ (adjective) | Có cảm giác, có tri giác
abstain /əbˈsteɪn/ (verb) | Kiêng
attain /əˈteɪn/ (verb) | Đạt được
detain /dɪˈteɪn/ (verb) | Giam giữ ai
judgement /ˈdʒʌdʒmənt/ (noun) | Quyết định tòa án, phán quyết, án
migrate /maɪˈɡreɪt/ (v) | Di cư
factor /ˈfæktər/ (n) | Hệ số, thừa số
dwindle /ˈdwɪndl/ (v) | Thu nhỏ lại, suy yếu dần
diminish /dɪˈmɪnɪʃ/ (v) | Làm giảm đi (tầm quan trọng)
contribute /kənˈtrɪbjuːt/ (v) | Cống hiến, đóng góp
exotic /ɪɡˈzɑːtɪk/ (adj) | Ngoại lai, kỳ lạ
demographic /ˌdeməˈɡræfɪk/ (adj) | Thuộc nhân khẩu học
have a monopoly /həv ə məˈnɑːpəli/ (phrase) | Độc quyền
implication /ˌɪmplɪˈkeɪʃn/ (n) | Hậu quả, hệ lụy, sự kéo theo
hindsight /ˈhaɪndsaɪt/ (n) | Sự nhận thức muộn (sau khi việc đã xảy ra)
globalisation /ˌɡləʊbəlaɪˈzeɪʃn/ (n) | Sự toàn cầu hoá
demographics /ˌdeməˈɡræfɪks/ (n) | Số liệu thống kê dân số
attitude /ˈætɪtuːd/ (n) | Tư thế cơ thể (trang trọng)
surpass /sərˈpæs/ (v) | Vượt qua, trội hơn
speculate /ˈspekjuleɪt/ (v) | Suy xét, phỏng đoán
envisage /ɪnˈvɪzɪdʒ/ (v) | Dự tính, vạch ra (kế hoạch)
user-friendly /ˌjuːzər ˈfrendli/ (adj) | Thân thiện với người dùng
labour-saving /ˈleɪbər seɪvɪŋ/ (adj) | Tiết kiệm sức lao động
prototype /ˈprəʊtətaɪp/ (n) | Nguyên mẫu
patent /ˈpeɪtnt/ (n) | Bằng sáng chế
computerisation /kəmˌpjuːtəraɪˈzeɪʃn/ (n) | Sự vi tính hoá
hoist /hɔɪst/ (v) | Kéo, nhấc lên (bằng cần trục)
haul /hɔːl/ (v) | Kéo mạnh (cái gì ra)
devise /dɪˈvaɪz/ (v) | Nghĩ ra (ý tưởng, kế hoạch)
demolish /dɪˈmɑːlɪʃ/ (v) | Phá hủy
condemn /kənˈdem/ (v) | Kết tội
two-storey /tuː ˈstɔːri/ (adj) | Hai tầng
state of the art /ˌsteɪt əv ði ˈɑːt/ (adj) | Hiện đại, tiên tiến
spacious /ˈspeɪʃəs/ (adj) | Rộng rãi
single-storey /ˈsɪŋɡl ˈstɔːri/ (phrase) | Có một tầng
prefabricated /ˌpriːˈfæbrɪkeɪtɪd/ (adj) | Được làm sẵn, đúc sẵn (chỉ việc ghép lại)
ornate /ɔːrˈneɪt/ (adj) | Lộng lẫy, hoa mỹ (về mặt trang trí)
multi-storey /ˈmʌlti ˈstɔːri/ (adj) | Nhiều tầng
mass-produced /ˌmæs prəˈdjuːst/ (adj) | Sản xuất hàng loạt
high-rise /ˈhaɪ raɪz/ (adj) | Cao, nhiều tầng
futuristic /ˌfjuːtʃəˈrɪstɪk/ (adj) | Tân tiến, thuộc tương lai
exterior /ɪkˈstɪriər/ (adj) | Ở bên ngoài
disposable /dɪˈspəʊzəbl/ (adj) | Dùng một lần, dùng xong rồi bỏ đi
cramped /kræmpt/ (adj) | Chật hẹp, tù túng, gò bó
cosy /ˈkəʊzi/ (adj) | Ấm áp, ấm cúng
conventional /kənˈvenʃənl/ (adj) | Thông thường, truyền thống
airy /ˈeəri/ (adj) | Thoáng khí
timber /ˈtɪmbər/ (n) | Gỗ xây dựng
tension /ˈtenʃn/ (n) | Tình trạng căng thẳng
staircase /ˈsteəkeɪs/ (n) | Cầu thang
skyscraper /ˈskaɪskreɪpər/ (n) | Tòa nhà cao tầng, nhà chọc trời
residence /ˈrezɪdəns/ (n) | Sự cư trú
quarry /ˈkwɑːri/ (n) | Mỏ đá
occupant /ˈɑːkjəpənt/ (n) | Người cư trú, người ngồi trên xe
lift shaft /lɪft ʃɑːft/ (phrase) | Trục nâng (thang máy)
landmark /ˈlændmɑːrk/ (n) | Dấu mốc, cột mốc
gadget /ˈɡædʒɪt/ (n) | Đồ dùng, vật dụng (nhỏ)
cottage /ˈkɑːtɪdʒ/ (n) | Nhà tranh
concrete /ˈkɑːnkriːt/ (n) | Bê tông
ceiling /ˈsiːlɪŋ/ (n) | Trần nhà
propel /prəˈpel/ (v) | Đẩy đi
colonise /ˈkɑːlənaɪz/ (v) | Thực dân hóa
acclimatise /əˈklaɪmətaɪz/ (v) | Thích nghi với môi trường
unmanned /ʌnˈmænd/ (adj) | Không người lái
uninhabitable /ˌʌnɪnˈhæbɪtəbl/ (adj) | Không thể ở được
terrestrial /təˈrestriəl/ (adj) | Trên cạn
meteoric /ˌmiːtiˈɔːrɪk/ (adj) | Thuộc sao băng
inevitable /ɪnˈevɪtəbl/ (adj) | Không thể tránh được
commercial /kəˈmɜːrʃl/ (n) | Quảng cáo (trên truyền hình/radio)
weightlessness /ˈweɪtləsnəs/ (n) | Sự không trọng lực
space shuttle /ˈspeɪs ʃʌtl/ (n) | Tàu con thoi
radiation /ˌreɪdiˈeɪʃn/ (n) | Sự phát xạ, bức xạ, phóng xạ
meteor /ˈmiːtiər/ (n) | Sao băng
debris /ˈdebriː/ (n) | Mảnh vỡ
crater /ˈkreɪtər/ (n) | Miệng núi lửa
asteroid /ˈæstərɔɪd/ (n) | Tiểu hành tinh
tolerate /ˈtɑːləreɪt/ (v) | Chịu đựng, chịu được
eradicate /ɪˈrædɪkeɪt/ (v) | Diệt trừ, xóa bỏ hoàn toàn
cultivate /ˈkʌltɪveɪt/ (v) | Trồng trọt
semi-arid /ˌsemi ˈærɪd/ (adj) | Nửa khô hạn
resistant /rɪˈzɪstənt/ (adj) | Chống, chịu được
genetically modified /dʒəˌnetɪkli ˈmɑːdɪfaɪd/ (adj) | Biến đổi gen
endangered /ɪnˈdeɪndʒərd/ (adj) | Bị nguy hiểm, lâm nguy
domesticated /dəˈmestɪkeɪtid/ (adj) | Được thuần hóa
catastrophic /ˌkætəˈstrɑːfɪk/ (adj) | Thảm khốc (ảnh hưởng nhiều người)
productivity /ˌproʊdʌkˈtɪvəti/ (n) | Năng suất
porcupine /ˈpɔːrkjupaɪn/ (noun) | Con nhím lông
brutal /ˈbruːtl/ (adjective) | Hung ác, tàn bạo, dã man
contagious /kənˈteɪdʒəs/ (adjective) | Dễ lây lan, dễ truyền từ người này sang người kia
deferral /dɪˈfɜːrəl/ (noun) | Sự hoãn lại, sự trì hoãn
accelerate /əkˈseləreɪt/ (v) | Thúc đẩy, đẩy nhanh
